date,close,adjclose
2023-06-12,360.49,354.2071
2023-06-13,363.26,356.9288
2023-06-14,365.90,359.5228
2023-06-15,370.26,363.8068
2023-06-16,367.93,361.5174
2023-06-20,366.90,360.9999
2023-06-21,361.90,356.0803
2023-06-22,366.17,360.2817
2023-06-23,362.54,356.71
2023-06-26,357.68,351.9281
2023-06-27,363.83,357.9792
2023-06-28,364.54,358.6778
2023-06-29,363.81,357.9596
2023-06-30,369.42,363.4794
2023-07-03,370.29,364.3354
2023-07-05,370.28,364.3255
2023-07-06,367.46,361.5508
2023-07-07,366.24,360.3505
2023-07-10,366.36,360.4685
2023-07-11,368.17,362.2495
2023-07-12,372.82,366.8246
2023-07-13,379.15,373.0529
2023-07-14,379.07,372.9742
2023-07-17,382.61,376.4572
2023-07-18,385.74,379.5369
2023-07-19,385.65,379.4484
2023-07-20,376.76,370.7013
2023-07-21,375.63,369.5894
2023-07-24,376.23,370.1798
2023-07-25,378.78,372.6888
2023-07-26,377.52,371.4491
2023-07-27,376.62,370.5635
2023-07-28,383.48,377.3132
2023-07-31,383.68,377.51
2023-08-01,382.79,376.6343
2023-08-02,374.39,368.3694
2023-08-03,373.79,367.7791
2023-08-04,372.04,366.0572
2023-08-07,375.19,369.1566
2023-08-08,372.00,366.0178
2023-08-09,367.91,361.9936
2023-08-10,368.59,362.6627
2023-08-11,366.24,360.3505
2023-08-14,370.35,364.3944
2023-08-15,366.42,360.5276
2023-08-16,362.54,356.71
2023-08-17,358.58,352.8136
2023-08-18,358.13,352.3709
2023-08-21,363.90,358.0481
2023-08-22,363.38,357.5364
2023-08-23,369.11,363.1743
2023-08-24,361.22,355.4112
2023-08-25,364.02,358.1661
2023-08-28,366.76,360.8621
2023-08-29,374.77,368.7433
2023-08-30,376.86,370.7997
2023-08-31,377.99,371.9115
2023-09-01,377.59,371.518
2023-09-05,378.07,371.9902
2023-09-06,374.74,368.7137
2023-09-07,372.06,366.0769
2023-09-08,372.58,366.5885
2023-09-11,376.97,370.9079
2023-09-12,372.79,366.7951
2023-09-13,374.21,368.1923
2023-09-14,377.27,371.2031
2023-09-15,370.81,364.847
2023-09-18,370.66,365.2274
2023-09-19,369.87,364.4489
2023-09-20,364.54,359.1971
2023-09-21,357.86,352.6149
2023-09-22,357.91,352.6643
2023-09-25,359.61,354.3393
2023-09-26,354.21,349.0184
2023-09-27,355.04,349.8363
2023-09-28,358.01,352.7627
2023-09-29,358.27,353.0189
2023-10-02,361.26,355.9651
2023-10-03,354.92,349.718
2023-10-04,359.75,354.4772
2023-10-05,358.69,353.4328
2023-10-06,364.70,359.3547
2023-10-09,366.56,361.1874
2023-10-10,368.59,363.1877
2023-10-11,371.22,365.7791
2023-10-12,369.93,364.508
2023-10-13,365.28,359.9261
2023-10-16,369.41,363.9957
2023-10-17,368.20,362.8033
2023-10-18,363.37,358.0442
2023-10-19,359.97,354.6941
2023-10-20,354.60,349.4027
2023-10-23,355.67,350.4571
2023-10-24,359.13,353.8663
2023-10-25,350.34,345.2051
2023-10-26,343.66,338.6231
2023-10-27,345.31,340.2488
2023-10-30,349.20,344.0819
2023-10-31,350.87,345.7274
2023-11-01,356.96,351.7281
2023-11-02,363.44,358.1131
2023-11-03,367.71,362.3206
2023-11-06,369.21,363.7986
2023-11-07,372.70,367.2374
2023-11-08,372.94,367.4739
2023-11-09,370.07,364.646
2023-11-10,378.39,372.8441
2023-11-13,377.21,371.6813
2023-11-14,385.33,379.6823
2023-11-15,385.62,379.968
2023-11-16,385.95,380.2932
2023-11-17,386.04,380.3819
