date,close,adjclose
2023-06-12,19.25,18.5846
2023-06-13,19.67,18.9998
2023-06-14,20.09,19.4054
2023-06-15,20.80,20.0862
2023-06-16,20.40,19.6999
2023-06-20,20.30,19.6034
2023-06-21,19.42,18.8177
2023-06-22,20.07,19.4426
2023-06-23,19.48,18.8662
2023-06-26,18.70,18.1202
2023-06-27,19.63,19.0163
2023-06-28,19.75,19.1326
2023-06-29,19.61,19.0018
2023-06-30,20.50,19.8591
2023-07-03,20.64,19.9947
2023-07-05,20.63,19.9802
2023-07-06,20.14,19.5104
2023-07-07,19.93,19.3118
2023-07-10,19.95,19.3263
2023-07-11,20.24,19.6024
2023-07-12,20.99,20.329
2023-07-13,22.03,21.3413
2023-07-14,22.01,21.3219
2023-07-17,22.62,21.9128
2023-07-18,23.16,22.436
2023-07-19,23.16,22.436
2023-07-20,21.53,20.8618
2023-07-21,21.34,20.6777
2023-07-24,21.43,20.76
2023-07-25,21.86,21.1766
2023-07-26,21.64,20.9586
2023-07-27,21.45,20.7794
2023-07-28,22.61,21.9032
2023-07-31,22.66,21.9467
2023-08-01,22.48,21.7772
2023-08-02,21.01,20.3532
2023-08-03,20.86,20.2079
2023-08-04,20.57,19.9269
2023-08-07,21.08,20.421
2023-08-08,20.54,19.8979
2023-08-09,19.85,19.2343
2023-08-10,19.94,19.3215
2023-08-11,19.55,18.934
2023-08-14,20.19,19.5637
2023-08-15,19.58,18.963
2023-08-16,18.92,18.3334
2023-08-17,18.28,17.7134
2023-08-18,18.20,17.631
2023-08-21,19.08,18.4835
2023-08-22,19.00,18.4012
2023-08-23,19.89,19.2682
2023-08-24,18.58,17.9991
2023-08-25,19.02,18.4254
2023-08-28,19.44,18.8371
2023-08-29,20.68,20.0383
2023-08-30,21.03,20.3725
2023-08-31,21.22,20.5566
2023-09-01,21.15,20.484
2023-09-05,21.20,20.5372
2023-09-06,20.64,19.9947
2023-09-07,20.19,19.5588
2023-09-08,20.25,19.6169
2023-09-11,20.94,20.2854
2023-09-12,20.27,19.6363
2023-09-13,20.47,19.8301
2023-09-14,20.95,20.295
2023-09-15,19.88,19.2537
2023-09-18,19.92,19.2972
2023-09-19,19.80,19.181
2023-09-20,18.88,18.3493
2023-09-21,17.80,17.3043
2023-09-22,17.82,17.3188
2023-09-25,18.05,17.5473
2023-09-26,17.25,16.7647
2023-09-27,17.35,16.8668
2023-09-28,17.77,17.2751
2023-09-29,17.81,17.314
2023-10-02,18.24,17.7272
2023-10-03,17.27,16.789
2023-10-04,17.97,17.4695
2023-10-05,17.78,17.2848
2023-10-06,18.67,18.1549
2023-10-09,18.95,18.4222
2023-10-10,19.26,18.7236
2023-10-11,19.67,19.1222
2023-10-12,19.44,18.8986
2023-10-13,18.70,18.1841
2023-10-16,19.33,18.7965
2023-10-17,19.15,18.6167
