date,close,adjclose
2023-06-12,114.40,114.4
2023-06-13,113.80,113.8
2023-06-14,110.60,110.6
2023-06-15,113.80,113.8
2023-06-16,109.20,109.2
2023-06-20,109.60,109.6
2023-06-21,107.20,107.2
2023-06-22,105.00,105
2023-06-23,106.24,106.24
2023-06-26,105.84,105.84
2023-06-27,103.24,103.24
2023-06-28,99.40,99.4
2023-06-29,101.68,101.68
2023-06-30,99.84,99.84
2023-07-03,99.04,99.04
2023-07-05,100.96,100.96
2023-07-06,106.28,106.28
2023-07-07,103.88,103.88
2023-07-10,103.04,103.04
2023-07-11,102.20,102.2
2023-07-12,96.48,96.48
2023-07-13,97.12,97.12
2023-07-14,95.96,95.96
2023-07-17,95.76,95.76
2023-07-18,94.24,94.24
2023-07-19,96.32,96.32
2023-07-20,96.16,96.16
2023-07-21,94.92,94.92
2023-07-24,93.36,93.36
2023-07-25,93.24,93.24
2023-07-26,90.84,90.84
2023-07-27,95.52,95.52
2023-07-28,91.60,91.6
2023-07-31,90.68,90.68
2023-08-01,91.88,91.88
2023-08-02,100.52,100.52
2023-08-03,99.96,99.96
2023-08-04,103.44,103.44
2023-08-07,98.00,98
2023-08-08,100.16,100.16
2023-08-09,99.12,99.12
2023-08-10,99.48,99.48
2023-08-11,95.56,95.56
2023-08-14,93.92,93.92
2023-08-15,99.32,99.32
2023-08-16,100.92,100.92
2023-08-17,105.80,105.8
2023-08-18,103.12,103.12
2023-08-21,100.44,100.44
2023-08-22,100.84,100.84
2023-08-23,97.48,97.48
2023-08-24,101.20,101.2
2023-08-25,96.80,96.8
2023-08-28,93.12,93.12
2023-08-29,90.68,90.68
2023-08-30,87.60,87.6
2023-08-31,86.08,86.08
2023-09-01,84.88,84.88
2023-09-05,85.76,85.76
2023-09-06,87.12,87.12
2023-09-07,86.96,86.96
2023-09-08,85.24,85.24
2023-09-11,83.04,83.04
2023-09-12,83.68,83.68
2023-09-13,82.20,82.2
2023-09-14,79.68,79.68
2023-09-15,82.72,82.72
2023-09-18,82.16,82.16
2023-09-19,81.60,81.6
2023-09-20,84.64,84.64
2023-09-21,91.40,91.4
2023-09-22,91.60,91.6
2023-09-25,91.40,91.4
2023-09-26,100.68,100.68
2023-09-27,95.84,95.84
2023-09-28,91.60,91.6
2023-09-29,93.20,93.2
2023-10-02,93.52,93.52
2023-10-03,102.24,102.24
2023-10-04,97.04,97.04
2023-10-05,95.88,95.88
2023-10-06,94.48,94.48
2023-10-09,93.24,93.24
2023-10-10,90.12,90.12
2023-10-11,88.52,88.52
2023-10-12,90.48,90.48
2023-10-13,101.48,101.48
2023-10-16,91.64,91.64
2023-10-17,94.16,94.16
2023-10-18,99.92,99.92
2023-10-19,104.92,104.92
2023-10-20,105.76,105.76
2023-10-23,102.04,102.04
2023-10-24,97.64,97.64
2023-10-25,103.80,103.8
2023-10-26,104.76,104.76
2023-10-27,108.16,108.16
2023-10-30,100.28,100.28
2023-10-31,93.68,93.68
2023-11-01,89.60,89.6
2023-11-02,86.64,86.64
2023-11-03,84.60,84.6
2023-11-06,81.80,81.8
2023-11-07,81.36,81.36
2023-11-08,79.92,79.92
2023-11-09,83.08,83.08
2023-11-10,79.52,79.52
2023-11-13,78.92,78.92
2023-11-14,78.12,78.12
2023-11-15,76.40,76.4
2023-11-16,75.24,75.24
2023-11-17,74.12,74.12
2023-11-20,73.56,73.56
2023-11-21,72.00,72
2023-11-22,72.68,72.68
2023-11-24,69.56,69.56
2023-11-27,69.96,69.96
2023-11-28,69.12,69.12
2023-11-29,70.16,70.16
2023-11-30,69.04,69.04
2023-12-01,68.60,68.6
2023-12-04,69.00,69
2023-12-05,68.36,68.36
2023-12-06,68.80,68.8
2023-12-07,68.80,68.8
2023-12-08,66.80,66.8
2023-12-11,65.36,65.36
2023-12-12,63.52,63.52
2023-12-13,62.68,62.68
2023-12-14,62.44,62.44
