date,qqq_close,vixy_close,account_value,notes
2026-04-09,610.19,29.40,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-10,611.07,29.75,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-13,617.39,28.62,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-14,628.60,28.11,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-15,637.40,28.33,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-16,640.47,28.29,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-17,648.85,27.93,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-20,646.79,28.39,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-21,644.33,28.91,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-22,655.11,28.54,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-23,651.42,28.51,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-24,663.88,28.77,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-27,664.23,27.81,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-28,657.55,27.39,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-29,661.57,28.01,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-04-30,667.74,27.22,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-01,674.15,27.43,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-04,672.88,27.72,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-05,681.61,27.70,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-06,695.77,27.09,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-07,694.94,26.85,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-08,711.23,27.05,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-11,713.29,27.41,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-12,707.24,26.77,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-13,714.71,27.33,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-14,719.79,26.68,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-15,708.93,26.93,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-18,705.88,26.30,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-19,701.53,26.62,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-20,713.15,26.02,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-21,714.51,25.29,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-22,717.54,25.43,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-26,730.28,24.64,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-27,729.45,24.13,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-28,735.60,23.70,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-05-29,738.31,23.29,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-06-01,742.74,23.85,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-06-02,746.16,23.46,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-06-03,744.21,23.52,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-06-04,740.61,22.67,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-06-05,705.06,24.31,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-06-08,716.07,23.91,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-06-09,707.83,24.27,,"backfill 2026-06-12 (yahoo raw close; pre-launch, no account)"
2026-06-10,693.69,25.68,,prior-session closes via MCP (pre-launch)
2026-06-11,717.12,24.41,3087.27,day 1; corrected 06-12 to official SIP closes + 16:00 ET account value (was 19:59 prints / 22:20 AH value)
2026-06-12,721.34,23.29,4727.48,"EOD run (Cowork); yahoo v8 official closes — broker 19:59:59 prints 721.37/23.33 agree; account = 16:00 ET position closes + total cash 1076.47 (incl 933.34 unsettled TQQQ proceeds)"
2026-06-15,743.84,21.72,4901.55,"EOD reconcile (Cowork after-hours ~16:40 ET); broker 19:59:59 regular prints QQQ 743.84 / VIXY 21.72 (official SIP close not yet posted at run time — may differ by cents, correct on a later run if needed); account=total_value (equity at 16:00 marks + total cash 1334.15 incl 257.68 INTC proceeds settling 06-16)"
